,title,casts
129,007之俄罗斯之恋,"肖恩·康纳利,丹妮拉·碧安琪,比德洛·阿门德里兹,罗蒂·兰雅,罗伯特·肖,伯纳德·李"
130,乌鸦谋杀案,"小库珀·古丁,汤姆·贝伦杰,马克·佩雷格里诺"
131,黄飞鸿之四：王者之风,"赵文卓,王静莹,莫少聪,熊欣欣,周比利,钱嘉乐,刘洵,王志文,鲁亦诗"
132,末世纪暴潮,拉尔夫·费因斯安吉拉·贝塞特朱丽叶特·刘易斯
133,汉堡高地,"Michael,Boatman,唐·钱德尔,迪伦·麦克德莫特,Tim,"
134,小醉拳,"李若彤,季天笙,陈卓,熊欣欣,黄一山,沈威,刘锡明"
135,龙在天涯,"李连杰,狄威,利智,周星驰,方平"
136,燃情追踪,"伊万·麦克格雷格,艾什莉·贾德,帕特里克·博金"
137,和平饭店,"周润发,叶童,秦豪,刘洵,吴倩莲,刘晓彤,李兆基,鲁芬"
138,原振侠与卫斯理,"钱小豪,周润发,张曼玉,狄威,崔秀丽,徐锦江,胡慧中,倪匡,楚原,仓田保昭,惠英红,尔冬升,利智,高丽虹"
139,火舞风云,"张同祖,陈百祥,曹查理,秦沛,冯淬帆,楼南光,成奎安,王晶,午马,张敏,焦姣,钟楚红,玛莉亚,"
140,冒险王,"李连杰,关之琳,金城武,杨采妮,罗家英"
141,77年航空港,"杰克·莱蒙,李·格兰特,布伦达·瓦卡罗,约瑟夫·科顿,奥利维娅·德哈维兰,乔治·肯尼迪,克里斯托弗·李,克里斯·莱蒙"
142,时空特警,"尚格·云顿,米娅·萨拉,罗恩·西维尔,布鲁斯·麦克吉尔,格洛利亚·鲁本,斯科特·贝利斯,杰森斯乔姆宾,斯科特·劳伦斯,肯尼斯·威尔什,Brent,Woolsey,Brad,Loree,Shane,Kelly,Richard,Faraci,Steven,Lambert,凯文·麦克纳尔蒂,J.J.马卡罗,Yves,Cameron,David,Jacox,Mike,Mitchell,雅各布·鲁普,肖恩·奥伯恩,加布里埃尔·罗斯,马尔科姆·斯图尔特,Alfonso,Quijada,Nick,Hyams,薇娜·苏德"
143,白发魔女2,"林青霞,陈锦鸿,钟丽缇,万绮雯,张国荣"
144,雌雄大盗,"沃伦·比蒂,费·唐纳薇,迈克尔·波拉德,吉恩·哈克曼,埃斯特尔·帕森斯"
145,皇家师姐,"杨紫琼,王敏德,真田广之"
146,菜鸟霹雳胆,"克林特·伊斯特伍德,查理·辛,劳尔·胡里亚,索尼娅·布拉加"
147,疯狂的麦克斯3,"梅尔·吉布森,蒂娜·特纳,亚当·科克伯恩,布鲁斯·斯宾斯,弗兰克·思林,Angelo,Rossitto,Angry,Anderson,罗伯特·格拉布,George,Spartels,埃德温霍德曼"
148,特警屠龙,"甄子丹,张学友,温碧霞,郑裕玲,任达华,吴孟达,Stephan,Berwick,迈克尔·伍兹,梁家仁"
149,黄飞鸿'92之龙行天下,"李连杰,元华,郭锦恩,杰瑞·特林伯"
150,闪电舞,詹妮弗·比尔斯
151,魔鬼命令之患难兄弟,"马特·巴特格里亚,安德鲁·杰克逊,EricBryson"
152,决斗的人,"基思·卡拉丹,哈威·凯特尔,阿尔伯特·芬尼"
153,飞越巅峰,"西尔维斯特·史泰龙,David,Mendenhall"
154,O记三合会档案,"刘青云,吴镇宇,朱茵,彭丹,谢天华,李兆基,吴志雄,林尚义"
155,怒虎狂龙,"西尔维斯特·史泰龙,库尔特·拉塞尔"
156,义胆双雄,"GeorgeC.Scott,WilliamPetersen,JulieCarmen,AlexeiSayle"
157,轰天俏娇娃,"梅尔·吉布森,歌蒂·韩,大卫·卡拉丁,BillDuke"
158,精武门,"李小龙,苗可秀,田俊,田丰"
159,纵横四海,"周润发,张国荣,钟楚红,朱江"
160,孤寒财主,"比尔·默瑞,Frank,凯伦·阿兰,罗伯特·米彻姆"
161,致命武器,"梅尔·吉布森,丹尼·格洛弗,加里·布塞,米奇·瑞恩"
162,肝胆相照,"黎大炜,刘德华,张国强,杨群,"
163,全能战将,"马克·达卡斯考斯,大卫·布拉德利,Valarie,Trapp,John,Fujioka,司徒永华"
164,魔鬼岛战将,"浩克·霍根,卡尔·韦瑟斯,香农·特威德"
165,小心间谍,"利智,泰迪·罗宾,胡慧中,葛民辉"
166,狂凶记,"乔·芬奇,巴里·福斯特,芭芭拉·雷吉-亨特,安"
167,红墙盗影,"元彪,钟淑慧,吴毅将,钱小豪,王龙威"
168,危机风暴,"托马斯·伊安·格里菲斯,蒂亚·卡雷尔,约翰·利"
169,盗火线,"阿尔·帕西诺,罗伯特·德尼罗,方·基默,强·沃特"
170,红番区,"成龙,梅艳芳,叶芳华,董骠"
171,人民公敌,"薛景求,李成宰,安爽焕"
172,疯狂的麦克斯,"梅尔·吉布森,休·基斯-拜恩,雷格·埃文斯,史提夫·比斯利,Bertrand,Cadart,Sheila,Florance,乔纳森·哈迪,尼克·拉图里,Steve,Millichamp,Gil,Tucker"
173,跛豪,"吕良伟,郑则仕,叶童,叶子楣,李子雄,吴启华,黄光亮,陈荣宗,陈治良,罗烈,吴孟达,刘洵,刘江,江欣燕"
174,冒牌君主,"理查德·德莱福斯,劳尔·胡里亚,索尼娅·布拉加"
175,魔鬼佣兵,"OlivierGruner,JohnRitter,RobertCulp"
176,危在旦夕,"BrianBosworth布莱恩·伯斯华,MichaelDorn迈克尔·多恩"
177,新大小不良,"郑则士,张卫健,翁虹,蒋勤勤"
178,龙虎盟,"约翰·韦恩,罗伯特·米彻姆RobertMitchum,詹姆斯·肯恩"
179,小淘气,"Travis,Bug,Brittany"
180,东京流浪汉,"渡哲也,松原智惠子,二谷英明,北龙二,江"
181,龙在江湖,"李国豪,王敏德,陈惠敏,谷峰,叶荣祖"
182,红色警探,"阿诺·施瓦辛格,詹姆斯·贝鲁什,彼得·博伊尔,吉娜·格申"
183,重返唐人街,"杰克·尼科尔森,哈威·凯特尔,玛德琳·斯托"
184,街头武士,"Jeff,Speakman,克里斯托弗·尼姆,詹妮弗·加蒂,伯尼·凯西,葛人杰·海恩斯,萨尔·兰迪"
185,福禄双霸天,"约翰·贝鲁西,丹·艾克罗伊德,James,凯比·卡洛威,雷·查尔斯,艾瑞莎"
186,中南海保镖,"李连杰,钟丽缇,郑则仕,邹兆龙,梁荣忠,黄锦江,元奎,伍卫国,朱威廉,迈克尔·米勒"
187,F16空中战将,"鲁特格尔·哈尔,罗伯特·帕特里克,Isabel,Glasser,戴·扬,肯·霍华德,Barry,Zetlin,Harri,James,Tam,Logan,Wendy,Benson-Landes,Frank,Moran,Bruce,Anderson,Michael,W.,Mitchell,David,Kadas,John,Nadler,Richard,Langan"
188,怪房客,",罗曼·波兰斯基,伊莎贝尔·阿佳妮,茂文·道格拉斯,谢利·温特斯"
189,女王神剑,"阿诺·施瓦辛格,布里吉特·尼尔森,桑达·伯格曼,保罗·L·史密斯,厄尼·雷耶斯,罗纳德·莱西,帕特·罗奇,珍妮特·阿格伦,拉腊·兰贝蒂,汉斯·迈尔,弗兰切丝卡·布露玛拉·科鲁奇,史文-欧尔·托尔森,Terry,Richards,Donna,Osterbuhr,Stefano,Maria,Mioni,Tutte,Lemkow,Tad,Horino,Erik,Holmey"
190,夺宝奇兵,"哈里森·福特,凯伦·阿兰,保罗·弗里曼,约翰·瑞斯-戴维斯"
191,狭路相逢,"帕特里克·斯威兹,兰迪·特拉维斯,米特·洛夫"
192,龙虎悍将,"威廉·彼德森,迈克尔·维克特,戴安·琳恩,凯文·盖奇,迈克尔·伯恩,李·厄米"
193,黑客,"约翰尼·李·米勒,安吉丽娜·朱莉,杰西·布拉德福特,马修·里沃德,Laurence,Mason,Renoly,Santiago,费舍·史蒂芬斯"
194,少林小子,"李连杰,黄秋燕,潘清福,于承惠,于海,胡坚强"
